Cierre,Date,Cartera,Close,Saldo
201703,2017-03-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,230701696.9,959223726.3
201704,2017-04-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,232476414.5,956079373.3
201705,2017-05-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,233666094.6,952008102.1
201706,2017-06-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,235216437.7,948176506.9
201707,2017-07-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,236594596,943889746.9
201708,2017-08-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,237887971.4,939572185
201709,2017-09-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,239807571.2,936137280.4
201710,2017-10-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,241754110.2,932298118.8
201711,2017-11-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,243783084.1,929596888.4
201712,2017-12-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,244470882.6,923793870.1
201801,2018-01-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,270800802.1,921332419.9
201802,2018-02-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,272630348.5,916031124.5
201803,2018-03-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,274418754.7,976441803.8
201804,2018-04-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,276900269.9,972974082
201805,2018-05-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,278643469.7,966127967.7
201806,2018-06-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,279865478.2,963669896.1
201807,2018-07-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,281584535.2,959552283.1
201808,2018-08-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,282973868.8,954820763.9
201809,2018-09-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,284234471.6,951790733
201810,2018-10-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,285406693.2,946126812.1
201811,2018-11-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,286715499.3,941081175.6
201812,2018-12-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,288366120.9,936902338.8
201901,2019-01-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,336744563.6,927010675.8
201902,2019-02-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,338618284.9,927317056.8
201903,2019-03-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,340661253.5,967734996.3
201904,2019-04-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,343321864.2,964353180.8
201905,2019-05-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,345763115.2,961266142.2
201906,2019-06-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,347599818.1,956220020.5
201907,2019-07-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,350574284.1,953006581.1
201908,2019-08-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,352549595.1,948208896.5
201909,2019-09-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,354440671.8,944784713.5
201910,2019-10-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,357193349.5,942379986.3
201911,2019-11-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,359732493.8,939999683.6
201912,2019-12-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,361743213.3,936166098.9
202001,2020-01-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,434105582.6,923516489.7
202002,2020-02-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,434314611.5,905283399.7
202003,2020-03-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,434751051.5,907184858.4
202004,2020-04-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,438833977.2,902528296.5
202005,2020-05-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,443221153,900700579.7
202006,2020-06-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,447290721.9,897739325.5
202007,2020-07-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,450767011.2,894820194.2
202008,2020-08-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,453618464.8,889719838.8
202009,2020-09-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,457024508.3,885889411.5
202010,2020-10-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,460063223.9,882245638.9
202011,2020-11-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,463665123.3,880944549.3
